gene,t_stat,p_value,fdr,cohens_d,mean_ad,mean_control,abs_t_stat,abs_effect_size,mi_score,xgb_gain,elastic_net_coef,mrmr_score,stability_freq,vote_score,vote_count,quality_score
GALNT14,-13.590652405264603,3.3092591267912074e-37,3.510065392614563e-36,-1.004645155742546,-0.3507985715919654,0.5524771928904815,13.590652405264603,1.004645155742546,0.13738766146927617,0.0,0.0,0.0,0.0,0.0,0,0.3794753835102378
NDUFB2,-13.136521402548011,3.0722926979417005e-34,2.5986909676403486e-33,-1.03727376231104,-0.35989689263286684,0.5668062559932272,13.136521402548011,1.03727376231104,0.11753943025567115,1.8254846334457397,0.0,0.0,0.0,0.0,0,0.3793263430266476
HYAL1,13.648920258041933,1.3606063025972998e-37,1.4841761208987595e-36,0.9989226396920322,0.3491849970709064,-0.5499359535750832,13.648920258041933,0.9989226396920322,0.08338794659373261,2.703745126724243,0.0,0.0,0.0,0.0,0,0.37932004021672855
CAMKK2,-13.494536842000006,1.328424898626392e-36,1.3557268827392657e-35,-1.0104303929468574,-0.3524244085013108,0.5550377443992748,13.494536842000006,1.0104303929468574,0.09295976010301077,2.9584693908691406,0.0,0.0,0.0,0.0,0,0.3793165710369937
TNXB,13.335282242875197,1.471702761730236e-35,1.387069430106656e-34,1.0221974216599992,0.3557144931222703,-0.5602193410845512,13.335282242875197,1.0221974216599992,0.13197557855925202,4.391296863555908,0.0,0.0,0.0,0.0,0,0.3793012001670405
ITPA,-13.49318493170409,1.3368103510702206e-36,1.3628911250287918e-35,-1.0100649386652576,-0.3523218655048198,0.5548762481121224,13.49318493170409,1.0100649386652576,0.12791904332752346,0.0,0.0,0.0,0.0,0.0,0,0.3792635866515798
HAP1,13.138985238014916,2.8634364629446477e-34,2.4261425582895183e-33,1.0361359998389255,0.35958255267856754,-0.5663111979467312,13.138985238014916,1.0361359998389255,0.14124128557993987,1.3957223892211914,0.0,0.0,0.0,0.0,0,0.3792180306441692
NECAP2,13.213357110862741,9.025921204132341e-35,7.986499959081995e-34,1.0299596094942984,0.35787246460542566,-0.5636179581939097,13.213357110862741,1.0299596094942984,0.09608877540649363,4.9345831871032715,0.0,0.0,0.0,0.0,0,0.37914783918484496
PDLIM1,13.314174855588528,1.9318128012087017e-35,1.8003196609583614e-34,1.022276213123092,0.3557364473226797,-0.5602539170378065,13.314174855588528,1.022276213123092,0.1137459602151707,0.0,0.0,0.0,0.0,0.0,0,0.37913097404043505
NDUFB1,-13.530751509450084,7.223849627889254e-37,7.502730815396737e-36,-1.0053656952358916,-0.3510013635473057,0.552796572555337,13.530751509450084,1.0053656952358916,0.1192571583709292,0.0,0.0,0.0,0.0,0.0,0,0.37904873894945457
ADCY1,-13.785647789701752,1.8346987881173093e-38,2.1417694273916802e-37,-0.9851629356365065,-0.34528335205559946,0.5437912025405257,13.785647789701752,0.9851629356365065,0.13139396371413192,0.0,0.0,0.0,0.0,0.0,0,0.37891785609495016
WASF1,-12.81124321944987,4.65825492067631e-34,3.8972374151944886e-33,-0.8695255287628888,-0.31128053787243926,0.4902397321196608,12.81124321944987,0.8695255287628888,0.10259014491156737,6.569394111633301,0.0,0.0,0.0,0.047527144810389624,1,0.3788994804698413
TSFM,-13.244728475271488,5.05326453941046e-35,4.556154775777398e-34,-1.024585875835321,-0.35637955482698647,0.561266755337268,13.244728475271488,1.024585875835321,0.1129752489217879,2.7968530654907227,0.0,0.0,0.0,0.0,0,0.3788037931656265
NFE2L2,13.209192875087986,8.573816055421674e-35,7.606689604370109e-34,1.0268773817246404,0.3570167475833524,-0.5622702784239528,13.209192875087986,1.0268773817246404,0.11155867996715729,0.0,0.0,0.0,0.0,0.0,0,0.37876241007550043
EML3,13.145694561498704,1.4839486971062042e-34,1.2868194566304974e-33,1.0192030227403472,0.35487939358915416,-0.5589041320637582,13.145694561498704,1.0192030227403472,0.11681527327375951,5.301459312438965,0.0,0.0,0.0,0.0027957144006111544,1,0.37860980540003747
BLCAP,-13.365522483457173,7.44168078672781e-36,7.162528055190961e-35,-1.0129879782906748,-0.3531414335537557,0.5561669963982454,13.365522483457173,1.0129879782906748,0.11355838739702206,0.0,0.0,0.0,0.0,0.0,0,0.37851189174953176
RFX2,13.372752913933688,6.571488110830607e-36,6.367963381961193e-35,1.011956918155785,0.3528525016587352,-0.5557119538318743,13.372752913933688,1.011956918155785,0.10769809224203897,0.0,0.0,0.0,0.0,0.0,0,0.3784561610570423
PRSS16,-13.556409220559425,4.287179319949579e-37,4.5137486067950155e-36,-0.9982280442960175,-0.34898877937899486,0.5496269278024576,13.556409220559425,0.9982280442960175,0.11109672552008742,0.0,0.0,0.0,0.0,0.0,0,0.37845584514115416
SOD1,-13.46588492077627,1.60607743081407e-36,1.632023302869175e-35,-1.0045146655172157,-0.35076183677557154,0.5524193387545602,13.46588492077627,1.0045146655172157,0.1395750623242964,3.263495445251465,0.0,0.0,0.0,0.0,0,0.37840144277369736
CASP4,13.416427611889887,3.316585640853527e-36,3.2840120318808586e-35,1.0077844434542667,0.35168148864505194,-0.5538677103399406,13.416427611889887,1.0077844434542667,0.14430192689219679,0.0,0.0,0.0,0.0,0.0,0,0.3783529941266843
