gene,t_stat,p_value,fdr,cohens_d,mean_ad,mean_control,abs_t_stat,abs_effect_size,mi_score,xgb_gain,elastic_net_coef,mrmr_score,stability_freq,vote_score,vote_count,quality_score
SAFB2,18.135813651193935,8.87809143565203e-59,8.853044178699372e-57,1.3807190838584398,0.44528615444403485,-0.7012869052568035,18.135813651193935,1.3807190838584398,0.19354193506852946,10.853266716003418,0.06806233186931439,-0.2989164449676117,0.92,0.4774531432560294,6,0.6756265647306904
MAST3,-16.975051973474912,7.884361991009263e-54,4.056382321250694e-52,-1.251631892114045,-0.4153809045097759,0.6541887415972782,16.975051973474912,1.251631892114045,0.21215001435209668,36.161216735839844,0.0,-0.30049655014660703,0.98,0.5156108438631718,5,0.6682823719425898
EGR1,-17.994972836240986,3.662961971130269e-58,3.293695804851461e-56,-1.3662790860241634,-0.4420677302369349,0.6962181674811682,17.994972836240986,1.3662790860241634,0.20253388968627561,2.4423654079437256,0.07686754495382978,-0.2756335076912664,1.0,0.4566447115479945,6,0.6634271109308884
CRYM,-20.290697061328057,3.436593833939407e-72,4.287580382068653e-69,-1.4642234605522688,-0.463288376873089,0.729638837444728,20.290697061328057,1.4642234605522688,0.2126192811848382,0.6716518402099609,0.0,0.0,0.98,0.3720602084310124,4,0.6559764461511313
KCNF1,-19.450725703908372,2.575749786788862e-66,8.29308342643214e-64,-1.4540053700747575,-0.4611406133048377,0.726256296912146,19.450725703908372,1.4540053700747575,0.2035635588431266,9.816388130187988,0.0,-0.3567469750796147,0.74,0.38844457799866977,5,0.6550585354630294
VGF,-16.97154228939765,3.694586355572705e-51,1.3409333241807698e-49,-1.3615424295253922,-0.44100514649565886,0.6945446906482147,16.97154228939765,1.3615424295253922,0.20945370681538567,4.00286340713501,0.13792853543217623,-0.21826546100374145,0.96,0.45196764537876316,5,0.6520967977032402
LANCL2,-18.205899144787363,1.1514902066407346e-59,1.3207923838446356e-57,-1.3659820179036768,-0.44200118822160955,0.6961133696033629,18.205899144787363,1.3659820179036768,0.23404688974316934,3.4672725200653076,0.0,-0.31073825414674827,0.94,0.42652704832943417,5,0.6516309215441576
NCALD,-20.11018143459895,2.197991445712563e-70,1.567010901404078e-67,-1.4836990543794653,-0.4673401127104727,0.7360199684499461,20.11018143459895,1.4836990543794653,0.2279226056433814,3.4841842651367188,0.0,0.0,0.64,0.354796036117158,3,0.648887258413929
KLF15,19.079797554406873,1.0777511248011954e-62,1.8546610304552985e-60,1.48195521896126,0.4669795517523623,-0.735452116348669,19.079797554406873,1.48195521896126,0.2104684251996407,16.636062622070312,0.0,-0.364701692531163,0.9,0.3643406318197231,5,0.6442375930769573
LSM4,-15.41121556223345,1.297977981357206e-44,2.4723508076195175e-43,-1.2070966227573277,-0.4044604470940629,0.6369899724268826,15.41121556223345,1.2070966227573277,0.17907482451648593,5.520547866821289,0.07607263873539534,-0.23023588346836077,1.0,0.4951301423617905,5,0.6407327206991432
PRKCZ,-17.435696196011836,8.153160931939881e-57,5.8126213758351395e-55,-1.2517133781682122,-0.4154005983138557,0.6542197576232182,17.435696196011836,1.2517133781682122,0.22921895081082044,3.7830193042755127,0.0,-0.24529638566700468,1.0,0.4456383822108046,4,0.6407143117516608
PTPRN2,-19.868918596291664,3.4328278809632365e-70,2.141440942493379e-67,-1.4165404917392357,-0.4531350510863672,0.7136482337666846,19.868918596291664,1.4165404917392357,0.22218687851634833,0.0,0.0,0.0,0.66,0.35789558406590116,3,0.6406061545575584
CCKBR,-19.990327810548035,2.268870711191866e-69,1.1918736088634743e-66,-1.4877961446975707,-0.46818552116198153,0.7373514131192228,19.990327810548035,1.4877961446975707,0.21246496614140797,4.078770160675049,0.0,0.0,0.88,0.3231403969378959,3,0.6340901618969875
ATP5C1,-19.465811439686615,3.2029365107526186e-67,1.1840188634748845e-64,-1.4238331362456098,-0.4547095574721243,0.7161279441721277,19.465811439686615,1.4238331362456098,0.21300113386573183,0.0,0.0,0.0,1.0,0.33633133102692847,3,0.6283086657723508
AFF1,19.389874118646578,7.02445202722503e-64,1.5934330837212052e-61,1.5172077477460315,0.4741840322202535,-0.7467985455176094,19.389874118646578,1.5172077477460315,0.22001827030939247,3.8468432426452637,0.0,-0.3756065787841326,0.74,0.31206414620796197,4,0.6273493244496915
