,ITPKB,NRN1,PPP1R7,NEUROD6,PPEF1,DUSP4,GFAP,SST,MAFF,ZFP36L1,CD200,NRXN3,CA10,MLLT11,SLC35B1,SAFB2,MAST3,EGR1,CRYM,KCNF1,VGF,LANCL2,NCALD,KLF15,LSM4,PRKCZ,PTPRN2,CCKBR,ATP5C1,AFF1
VGF,0.0013844960602000383,0.0013844814850017435,6.627121474593947e-05,0.0007528366986662149,-0.0007441910682246082,7.667073514312783e-05,0.0015474681509658715,0.002786660217680037,-0.0007458579959347851,0.0014751563081517836,-0.0003101742826402201,0.002214145334437489,-0.0006686104228720048,0.0011724002892151489,0.0004690740490332253,0.0006344976369291565,-5.7712080888450146e-05,-0.0005232651485130163,-0.00028686574660241604,0.0019683054182678475,0.0,-0.0021733751986175755,0.002278986293822529,0.00033847822342068096,-0.00010505996178835839,0.002740128734149038,-0.0010921273613348596,0.00141715160571039,-0.0007469564909115406,0.004724588105455042
LANCL2,-3.8774963468313044e-05,-7.543992251157782e-05,-0.0005266649415716536,0.001162794721312821,-0.0009278876939788454,0.0015005554538220162,-0.0018356277141720054,-0.0002056057332083588,0.0004635469056665899,0.00028454205021262186,-0.0006671988172456626,-0.0007098965579643846,-0.0005951220868155365,-0.0001965454546734688,0.0032220870489254594,0.00023999128025025112,0.00031331798527389765,-0.0005613478599116209,0.0005352545995265245,0.0004439048236235973,-0.0021733751986175755,0.0,0.001967373676598072,0.0007145896553993232,0.00035513201728463225,-0.0021685999119654305,0.0007704508956521763,-0.0005010340595617887,-0.0008467873558402061,0.00037601001095026714
NCALD,0.000514711509458721,0.0003047180362045765,-6.432537920773038e-05,0.0004240696318447588,-0.0005822117440402509,0.001058572414331138,-0.0009419496404007074,0.000506808026693761,3.6373338662087874e-05,-0.0001325021730735898,-0.00017004716210067272,0.0004227432422339913,0.00022117043845355528,-0.00011426280252635479,0.0006354445591568933,0.00040025636553764343,-0.0007470482494682071,-0.00012055772822350177,0.0012683216482400894,0.003243451123125851,0.002278986293822529,0.001967373676598072,0.0,0.000993376784026622,0.0007950292667374017,0.00015602030325681006,0.0006947755580767989,0.0011433532228693373,-0.0008209916064515711,0.00038199119735509053
KLF15,6.868324708193558e-05,1.9371509552001953e-07,0.00012950892560184015,-3.0862912535667246e-05,0.00031519653275609023,-8.464136626571404e-05,6.191909778863192e-05,0.00022764750756323286,-0.00025909503456205123,0.00015244274400174652,0.00029009585268795495,0.0001063525676727288,0.00029760811012238266,0.00032801101915538346,0.0003622712567448623,0.00023536807857453806,-0.00028822734020650387,0.00028911593835800886,2.2209016606211662e-05,0.0004947802517563105,0.00033847822342068096,0.0007145896553993232,0.000993376784026622,0.0,0.00027336245402693766,0.00030880155973136286,0.00012177249882370242,0.00021958160214126214,0.0003524600993841888,0.0004253349965438243
LSM4,0.00048352878075093135,4.049406852573226e-05,-0.0002022457309067249,0.0005732737714424728,-0.0002304241526871919,0.00028369307983666664,0.0002578448271378878,-0.00021931966766715067,0.00027352995239198207,-0.000501570128835737,-0.00021961377933621407,0.0005398921202868223,-0.00027227629907429214,0.00016354506369680236,4.301129374653136e-05,0.0008377055171877143,0.0002914545824751259,0.0010679608909413222,2.8296071104705377e-05,0.0015571478754281996,-0.00010505996178835839,0.00035513201728463225,0.0007950292667374017,0.00027336245402693766,0.0,0.0013034297851845615,-0.00012946703936904651,0.0010837481822818535,-0.0003697630483657121,0.0009764443384483457
PRKCZ,0.002201932715252042,0.0027415016898885373,-0.00040947445668280177,0.0004531649639829983,-0.00011706121731549536,-0.0008024609414860615,0.003179590823128818,0.0022168325027450905,8.93647316843266e-05,0.001999935158528388,0.00016238025855272974,0.0033660855842754245,-0.0005538111319765456,0.0022828963585197933,0.0011154144071042552,-0.0011089505860581994,0.0026189094642177207,0.003682202287018297,-0.0009947370504960421,0.0036370470887050026,0.002740128734149038,-0.0021685999119654305,0.00015602030325681006,0.00030880155973136286,0.0013034297851845615,0.0,-0.00037591508589685007,0.004021212435327468,0.0010424760868772863,0.004179570777341723
PTPRN2,-0.0004628314869478342,-0.0005061262752860784,0.0001160051440820091,0.000332103343680501,1.1261622421443636e-05,8.508989121764916e-05,-0.0012392835924401875,-0.00025906281080097,0.00019656021613627655,-0.0004479353083297606,0.00036152987740933895,-0.00047042849473655224,-9.191001299768686e-05,-0.00010308395139872994,0.0001700534718111161,-0.00042377368081361047,-0.00017689594533294413,-0.0003712390316650273,0.0010652017081156373,-0.00011261748149991044,-0.0010921273613348596,0.0007704508956521763,0.0006947755580767989,0.00012177249882370242,-0.00012946703936904651,-0.00037591508589685007,0.0,-0.00031424905173480476,-0.00021634350996464508,-0.001038846583105624
CCKBR,0.0006597250699996969,0.0008956426987424514,-0.0003451450495049347,0.0008189543848857294,-0.00030351968016475474,-0.0008467834442853917,0.0018209387548267855,0.0009758857078850242,-0.00019278149120509694,0.0003251135116443052,0.000353236845694483,0.0023766942555084845,-0.0005248176166787744,0.0015318921534344578,0.0005478338105604046,-0.0009239261737093319,0.0008403110085055225,0.0017726732650771744,0.0001989823300391439,0.0036104722646996407,0.00141715160571039,-0.0005010340595617887,0.0011433532228693373,0.00021958160214126214,0.0010837481822818535,0.004021212435327468,-0.00031424905173480476,0.0,0.0010184920392930525,0.002055347664281726
ATP5C1,8.468749001623935e-07,0.001672511384822428,0.0002957978518679738,0.00041931790765374903,0.0009940560907125474,-0.000704380590468645,0.0009886005194857722,0.0016406889772042623,-0.0002561589470133185,0.0005755835445597768,0.0011547483969479798,0.0007681248942390086,0.00034229038283228874,0.001337753864936531,0.0038980904035270207,0.00024580168537795526,0.000677172769792378,-0.00019846044015139376,-0.0008973867865279316,-9.815278463065798e-06,-0.0007469564909115406,-0.0008467873558402061,-0.0008209916064515711,0.0003524600993841888,-0.0003697630483657121,0.0010424760868772863,-0.00021634350996464508,0.0010184920392930525,0.0,0.001072872010990978
AFF1,0.0014809057582169764,0.0011229956522583982,-5.546165630221367e-05,0.0013405393110588193,0.0001709085656329979,0.0007928131846711046,0.0020331675652414567,0.002030001184903086,6.729071028530563e-05,0.0014669127995148301,-0.0003645221004262584,0.001988975028507412,0.00041726373601704697,0.0010331475874409066,0.0024949522688984885,0.0009679852752014998,0.00019900638144463266,0.0017992042703554034,-0.00036439490504562924,0.003058387991040943,0.004724588105455042,0.00037601001095026714,0.00038199119735509053,0.0004253349965438243,0.0009764443384483457,0.004179570777341723,-0.001038846583105624,0.002055347664281726,0.001072872010990978,0.0
